"","Threshold","power_open","dcy_indx","PXID"
"334","0.015","1907","0","PXD010413"
"335","0.016","1921","0","PXD010413"
"336","0.017","1943","0","PXD010413"
"337","0.018","1950","0","PXD010413"
"338","0.019","1958","0","PXD010413"
"339","0.02","1993","0","PXD010413"
"340","0.021","2008","0","PXD010413"
"341","0.022","2013","0","PXD010413"
"342","0.023","2037","0","PXD010413"
"343","0.024","2037","0","PXD010413"
"344","0.025","2058","0","PXD010413"
"345","0.026","2065","0","PXD010413"
"346","0.027","2085","0","PXD010413"
"347","0.028","2118","0","PXD010413"
"348","0.029","2125","0","PXD010413"
"349","0.03","2136","0","PXD010413"
"350","0.031","2145","0","PXD010413"
"351","0.032","2157","0","PXD010413"
"352","0.033","2159","0","PXD010413"
"353","0.034","2160","0","PXD010413"
"354","0.035","2162","0","PXD010413"
"355","0.036","2175","0","PXD010413"
"356","0.037","2176","0","PXD010413"
"357","0.038","2213","0","PXD010413"
"358","0.039","2243","0","PXD010413"
"359","0.04","2265","0","PXD010413"
"360","0.041","2273","0","PXD010413"
"361","0.042","2278","0","PXD010413"
"362","0.043","2281","0","PXD010413"
"363","0.044","2290","0","PXD010413"
"364","0.045","2307","0","PXD010413"
"365","0.046","2321","0","PXD010413"
"366","0.047","2331","0","PXD010413"
"367","0.048","2331","0","PXD010413"
"368","0.049","2333","0","PXD010413"
"369","0.05","2341","0","PXD010413"
"370","0.01","1715","1","PXD010413"
"371","0.011","1753","1","PXD010413"
"372","0.012","1764","1","PXD010413"
"373","0.013","1807","1","PXD010413"
"374","0.014","1816","1","PXD010413"
"375","0.015","1819","1","PXD010413"
"376","0.016","1905","1","PXD010413"
"377","0.017","1956","1","PXD010413"
"378","0.018","1981","1","PXD010413"
"379","0.019","2007","1","PXD010413"
"380","0.02","2012","1","PXD010413"
"381","0.021","2024","1","PXD010413"
"382","0.022","2038","1","PXD010413"
"383","0.023","2048","1","PXD010413"
"384","0.024","2053","1","PXD010413"
"385","0.025","2085","1","PXD010413"
"386","0.026","2097","1","PXD010413"
"387","0.027","2126","1","PXD010413"
"388","0.028","2134","1","PXD010413"
"389","0.029","2149","1","PXD010413"
"390","0.03","2153","1","PXD010413"
"391","0.031","2161","1","PXD010413"
"392","0.032","2188","1","PXD010413"
"393","0.033","2197","1","PXD010413"
"394","0.034","2206","1","PXD010413"
"395","0.035","2220","1","PXD010413"
"396","0.036","2236","1","PXD010413"
"397","0.037","2252","1","PXD010413"
"398","0.038","2252","1","PXD010413"
"399","0.039","2259","1","PXD010413"
"400","0.04","2262","1","PXD010413"
"401","0.041","2271","1","PXD010413"
"402","0.042","2280","1","PXD010413"
"403","0.043","2290","1","PXD010413"
"404","0.044","2304","1","PXD010413"
"405","0.045","2306","1","PXD010413"
"406","0.046","2312","1","PXD010413"
"407","0.047","2322","1","PXD010413"
"408","0.048","2325","1","PXD010413"
"409","0.049","2338","1","PXD010413"
"410","0.05","2341","1","PXD010413"
"411","0.01","2034","0","PXD010504"
"412","0.011","2067","0","PXD010504"
"413","0.012","2094","0","PXD010504"
"414","0.013","2096","0","PXD010504"
"415","0.014","2098","0","PXD010504"
"416","0.015","2102","0","PXD010504"
"417","0.016","2106","0","PXD010504"
