"","Threshold","power_narrow","dcy_indx","PXID"
"242","0.046","9300","1","PXD008920"
"243","0.047","9306","1","PXD008920"
"244","0.048","9326","1","PXD008920"
"245","0.049","9333","1","PXD008920"
"246","0.05","9346","1","PXD008920"
"247","0.01","8439","0","PXD008996"
"248","0.011","8456","0","PXD008996"
"249","0.012","8469","0","PXD008996"
"250","0.013","8506","0","PXD008996"
"251","0.014","8523","0","PXD008996"
"252","0.015","8545","0","PXD008996"
"253","0.016","8560","0","PXD008996"
"254","0.017","8591","0","PXD008996"
"255","0.018","8628","0","PXD008996"
"256","0.019","8633","0","PXD008996"
"257","0.02","8656","0","PXD008996"
"258","0.021","8662","0","PXD008996"
"259","0.022","8682","0","PXD008996"
"260","0.023","8691","0","PXD008996"
"261","0.024","8706","0","PXD008996"
"262","0.025","8721","0","PXD008996"
"263","0.026","8731","0","PXD008996"
"264","0.027","8742","0","PXD008996"
"265","0.028","8744","0","PXD008996"
"266","0.029","8747","0","PXD008996"
"267","0.03","8762","0","PXD008996"
"268","0.031","8790","0","PXD008996"
"269","0.032","8805","0","PXD008996"
"270","0.033","8834","0","PXD008996"
"271","0.034","8848","0","PXD008996"
"272","0.035","8863","0","PXD008996"
"273","0.036","8872","0","PXD008996"
"274","0.037","8887","0","PXD008996"
"275","0.038","8899","0","PXD008996"
"276","0.039","8912","0","PXD008996"
"277","0.04","8918","0","PXD008996"
"278","0.041","8930","0","PXD008996"
"279","0.042","8932","0","PXD008996"
"280","0.043","8937","0","PXD008996"
"281","0.044","8949","0","PXD008996"
"282","0.045","8959","0","PXD008996"
"283","0.046","8980","0","PXD008996"
"284","0.047","8987","0","PXD008996"
"285","0.048","8994","0","PXD008996"
"286","0.049","9011","0","PXD008996"
"287","0.05","9020","0","PXD008996"
"288","0.01","8422","1","PXD008996"
"289","0.011","8444","1","PXD008996"
"290","0.012","8477","1","PXD008996"
"291","0.013","8509","1","PXD008996"
"292","0.014","8537","1","PXD008996"
"293","0.015","8554","1","PXD008996"
"294","0.016","8562","1","PXD008996"
"295","0.017","8574","1","PXD008996"
"296","0.018","8588","1","PXD008996"
"297","0.019","8619","1","PXD008996"
"298","0.02","8633","1","PXD008996"
"299","0.021","8649","1","PXD008996"
"300","0.022","8673","1","PXD008996"
"301","0.023","8691","1","PXD008996"
"302","0.024","8706","1","PXD008996"
"303","0.025","8717","1","PXD008996"
"304","0.026","8738","1","PXD008996"
"305","0.027","8751","1","PXD008996"
"306","0.028","8766","1","PXD008996"
"307","0.029","8774","1","PXD008996"
"308","0.03","8795","1","PXD008996"
"309","0.031","8807","1","PXD008996"
"310","0.032","8817","1","PXD008996"
"311","0.033","8829","1","PXD008996"
"312","0.034","8841","1","PXD008996"
"313","0.035","8853","1","PXD008996"
"314","0.036","8883","1","PXD008996"
"315","0.037","8901","1","PXD008996"
"316","0.038","8925","1","PXD008996"
"317","0.039","8936","1","PXD008996"
"318","0.04","8948","1","PXD008996"
"319","0.041","8954","1","PXD008996"
"320","0.042","8962","1","PXD008996"
"321","0.043","8967","1","PXD008996"
"322","0.044","8978","1","PXD008996"
"323","0.045","8987","1","PXD008996"
"324","0.046","9003","1","PXD008996"
"325","0.047","9017","1","PXD008996"
"326","0.048","9029","1","PXD008996"
"327","0.049","9050","1","PXD008996"
"328","0.05","9061","1","PXD008996"
"329","0.01","1881","0","PXD010413"
"330","0.011","1886","0","PXD010413"
"331","0.012","1905","0","PXD010413"
"332","0.013","1907","0","PXD010413"
"333","0.014","1920","0","PXD010413"
"334","0.015","1923","0","PXD010413"
"335","0.016","1932","0","PXD010413"
"336","0.017","1935","0","PXD010413"
"337","0.018","1957","0","PXD010413"
"338","0.019","1968","0","PXD010413"
"339","0.02","1971","0","PXD010413"
"340","0.021","1976","0","PXD010413"
"341","0.022","1990","0","PXD010413"
"342","0.023","1990","0","PXD010413"
"343","0.024","1993","0","PXD010413"
"344","0.025","1995","0","PXD010413"
"345","0.026","1996","0","PXD010413"
"346","0.027","2002","0","PXD010413"
"347","0.028","2004","0","PXD010413"
"348","0.029","2004","0","PXD010413"
"349","0.03","2009","0","PXD010413"
"350","0.031","2010","0","PXD010413"
"351","0.032","2015","0","PXD010413"
"352","0.033","2017","0","PXD010413"
"353","0.034","2023","0","PXD010413"
"354","0.035","2024","0","PXD010413"
"355","0.036","2028","0","PXD010413"
"356","0.037","2034","0","PXD010413"
"357","0.038","2036","0","PXD010413"
"358","0.039","2042","0","PXD010413"
"359","0.04","2046","0","PXD010413"
"360","0.041","2053","0","PXD010413"
"361","0.042","2054","0","PXD010413"
"362","0.043","2058","0","PXD010413"
"363","0.044","2067","0","PXD010413"
"364","0.045","2069","0","PXD010413"
"365","0.046","2080","0","PXD010413"
"366","0.047","2083","0","PXD010413"
"367","0.048","2084","0","PXD010413"
"368","0.049","2084","0","PXD010413"
"369","0.05","2091","0","PXD010413"
"370","0.01","1882","1","PXD010413"
"371","0.011","1884","1","PXD010413"
"372","0.012","1889","1","PXD010413"
"373","0.013","1902","1","PXD010413"
"374","0.014","1909","1","PXD010413"
"375","0.015","1917","1","PXD010413"
"376","0.016","1924","1","PXD010413"
"377","0.017","1931","1","PXD010413"
"378","0.018","1934","1","PXD010413"
"379","0.019","1943","1","PXD010413"
"380","0.02","1947","1","PXD010413"
"381","0.021","1948","1","PXD010413"
"382","0.022","1956","1","PXD010413"
"383","0.023","1958","1","PXD010413"
"384","0.024","1959","1","PXD010413"
"385","0.025","1961","1","PXD010413"
"386","0.026","1963","1","PXD010413"
"387","0.027","1968","1","PXD010413"
"388","0.028","1971","1","PXD010413"
"389","0.029","1975","1","PXD010413"
"390","0.03","1976","1","PXD010413"
"391","0.031","1979","1","PXD010413"
"392","0.032","1986","1","PXD010413"
"393","0.033","1989","1","PXD010413"
"394","0.034","1992","1","PXD010413"
"395","0.035","2001","1","PXD010413"
"396","0.036","2005","1","PXD010413"
"397","0.037","2010","1","PXD010413"
"398","0.038","2011","1","PXD010413"
"399","0.039","2015","1","PXD010413"
"400","0.04","2017","1","PXD010413"
"401","0.041","2022","1","PXD010413"
"402","0.042","2028","1","PXD010413"
"403","0.043","2030","1","PXD010413"
"404","0.044","2031","1","PXD010413"
"405","0.045","2037","1","PXD010413"
"406","0.046","2048","1","PXD010413"
"407","0.047","2049","1","PXD010413"
"408","0.048","2055","1","PXD010413"
"409","0.049","2060","1","PXD010413"
"410","0.05","2060","1","PXD010413"
"411","0.01","1880","0","PXD010504"
"412","0.011","1896","0","PXD010504"
"413","0.012","1912","0","PXD010504"
"414","0.013","1913","0","PXD010504"
"415","0.014","1920","0","PXD010504"
"416","0.015","1929","0","PXD010504"
"417","0.016","1944","0","PXD010504"
"418","0.017","1946","0","PXD010504"
"419","0.018","1960","0","PXD010504"
"420","0.019","1960","0","PXD010504"
"421","0.02","1967","0","PXD010504"
"422","0.021","1974","0","PXD010504"
"423","0.022","1979","0","PXD010504"
"424","0.023","1986","0","PXD010504"
"425","0.024","1988","0","PXD010504"
"426","0.025","1995","0","PXD010504"
"427","0.026","2000","0","PXD010504"
"428","0.027","2004","0","PXD010504"
"429","0.028","2006","0","PXD010504"
"430","0.029","2009","0","PXD010504"
"431","0.03","2011","0","PXD010504"
"432","0.031","2024","0","PXD010504"
"433","0.032","2025","0","PXD010504"
"434","0.033","2026","0","PXD010504"
"435","0.034","2029","0","PXD010504"
"436","0.035","2035","0","PXD010504"
"437","0.036","2048","0","PXD010504"
"438","0.037","2050","0","PXD010504"
"439","0.038","2054","0","PXD010504"
"440","0.039","2066","0","PXD010504"
"441","0.04","2071","0","PXD010504"
"442","0.041","2072","0","PXD010504"
"443","0.042","2073","0","PXD010504"
"444","0.043","2075","0","PXD010504"
"445","0.044","2086","0","PXD010504"
"446","0.045","2092","0","PXD010504"
"447","0.046","2095","0","PXD010504"
"448","0.047","2096","0","PXD010504"
"449","0.048","2099","0","PXD010504"
"450","0.049","2104","0","PXD010504"
"451","0.05","2108","0","PXD010504"
"452","0.01","1924","1","PXD010504"
"453","0.011","1925","1","PXD010504"
"454","0.012","1926","1","PXD010504"
"455","0.013","1936","1","PXD010504"
"456","0.014","1936","1","PXD010504"
"457","0.015","1949","1","PXD010504"
"458","0.016","1956","1","PXD010504"
"459","0.017","1963","1","PXD010504"
"460","0.018","1966","1","PXD010504"
"461","0.019","1978","1","PXD010504"
"462","0.02","1988","1","PXD010504"
"463","0.021","1998","1","PXD010504"
"464","0.022","2002","1","PXD010504"
"465","0.023","2002","1","PXD010504"
"466","0.024","2006","1","PXD010504"
"467","0.025","2008","1","PXD010504"
"468","0.026","2013","1","PXD010504"
"469","0.027","2018","1","PXD010504"
"470","0.028","2028","1","PXD010504"
"471","0.029","2033","1","PXD010504"
"472","0.03","2042","1","PXD010504"
"473","0.031","2044","1","PXD010504"
"474","0.032","2045","1","PXD010504"
"475","0.033","2052","1","PXD010504"
"476","0.034","2056","1","PXD010504"
"477","0.035","2059","1","PXD010504"
"478","0.036","2062","1","PXD010504"
"479","0.037","2070","1","PXD010504"
"480","0.038","2071","1","PXD010504"
"481","0.039","2072","1","PXD010504"
"482","0.04","2075","1","PXD010504"
"483","0.041","2081","1","PXD010504"
"484","0.042","2081","1","PXD010504"
"485","0.043","2081","1","PXD010504"
"486","0.044","2087","1","PXD010504"
"487","0.045","2087","1","PXD010504"
"488","0.046","2090","1","PXD010504"
"489","0.047","2092","1","PXD010504"
"490","0.048","2095","1","PXD010504"
"491","0.049","2100","1","PXD010504"
"492","0.05","2104","1","PXD010504"
"493","0.01","527","0","PXD012528"
"494","0.011","527","0","PXD012528"
"495","0.012","531","0","PXD012528"
"496","0.013","531","0","PXD012528"
"497","0.014","533","0","PXD012528"
"498","0.015","546","0","PXD012528"
"499","0.016","546","0","PXD012528"
"500","0.017","547","0","PXD012528"
"501","0.018","547","0","PXD012528"
"502","0.019","547","0","PXD012528"
"503","0.02","547","0","PXD012528"
"504","0.021","548","0","PXD012528"
"505","0.022","552","0","PXD012528"
"506","0.023","552","0","PXD012528"
"507","0.024","556","0","PXD012528"
"508","0.025","556","0","PXD012528"
"509","0.026","557","0","PXD012528"
"510","0.027","557","0","PXD012528"
"511","0.028","557","0","PXD012528"
"512","0.029","557","0","PXD012528"
"513","0.03","557","0","PXD012528"
"514","0.031","557","0","PXD012528"
"515","0.032","557","0","PXD012528"
"516","0.033","560","0","PXD012528"
"517","0.034","565","0","PXD012528"
"518","0.035","565","0","PXD012528"
"519","0.036","565","0","PXD012528"
"520","0.037","570","0","PXD012528"
"521","0.038","570","0","PXD012528"
"522","0.039","570","0","PXD012528"
"523","0.04","570","0","PXD012528"
"524","0.041","572","0","PXD012528"
"525","0.042","576","0","PXD012528"
"526","0.043","576","0","PXD012528"
"527","0.044","577","0","PXD012528"
"528","0.045","577","0","PXD012528"
"529","0.046","577","0","PXD012528"
"530","0.047","581","0","PXD012528"
"531","0.048","581","0","PXD012528"
"532","0.049","581","0","PXD012528"
"533","0.05","584","0","PXD012528"
"534","0.01","502","1","PXD012528"
"535","0.011","502","1","PXD012528"
"536","0.012","502","1","PXD012528"
"537","0.013","502","1","PXD012528"
"538","0.014","502","1","PXD012528"
