"","Threshold","power_open","dcy_indx","PXID"
"280","0.043","536","6","PXD002470"
"281","0.044","536","6","PXD002470"
"282","0.045","538","6","PXD002470"
"283","0.046","538","6","PXD002470"
"284","0.047","540","6","PXD002470"
"285","0.048","540","6","PXD002470"
"286","0.049","540","6","PXD002470"
"287","0.05","541","6","PXD002470"
"288","0.01","496","7","PXD002470"
"289","0.011","496","7","PXD002470"
"290","0.012","503","7","PXD002470"
"291","0.013","503","7","PXD002470"
"292","0.014","509","7","PXD002470"
"293","0.015","509","7","PXD002470"
"294","0.016","511","7","PXD002470"
"295","0.017","511","7","PXD002470"
"296","0.018","513","7","PXD002470"
"297","0.019","513","7","PXD002470"
"298","0.02","515","7","PXD002470"
"299","0.021","528","7","PXD002470"
"300","0.022","528","7","PXD002470"
"301","0.023","533","7","PXD002470"
"302","0.024","533","7","PXD002470"
"303","0.025","533","7","PXD002470"
"304","0.026","533","7","PXD002470"
"305","0.027","538","7","PXD002470"
"306","0.028","538","7","PXD002470"
"307","0.029","538","7","PXD002470"
"308","0.03","542","7","PXD002470"
"309","0.031","542","7","PXD002470"
"310","0.032","542","7","PXD002470"
"311","0.033","542","7","PXD002470"
"312","0.034","542","7","PXD002470"
"313","0.035","542","7","PXD002470"
"314","0.036","542","7","PXD002470"
"315","0.037","542","7","PXD002470"
"316","0.038","542","7","PXD002470"
"317","0.039","542","7","PXD002470"
"318","0.04","542","7","PXD002470"
"319","0.041","543","7","PXD002470"
"320","0.042","543","7","PXD002470"
"321","0.043","544","7","PXD002470"
"322","0.044","544","7","PXD002470"
"323","0.045","544","7","PXD002470"
"324","0.046","548","7","PXD002470"
"325","0.047","548","7","PXD002470"
"326","0.048","549","7","PXD002470"
"327","0.049","549","7","PXD002470"
"328","0.05","549","7","PXD002470"
"329","0.01","416","8","PXD002470"
"330","0.011","465","8","PXD002470"
"331","0.012","465","8","PXD002470"
"332","0.013","485","8","PXD002470"
"333","0.014","485","8","PXD002470"
"334","0.015","486","8","PXD002470"
"335","0.016","486","8","PXD002470"
"336","0.017","494","8","PXD002470"
"337","0.018","507","8","PXD002470"
"338","0.019","507","8","PXD002470"
"339","0.02","508","8","PXD002470"
"340","0.021","508","8","PXD002470"
"341","0.022","509","8","PXD002470"
"342","0.023","509","8","PXD002470"
"343","0.024","516","8","PXD002470"
"344","0.025","516","8","PXD002470"
"345","0.026","517","8","PXD002470"
"346","0.027","528","8","PXD002470"
"347","0.028","528","8","PXD002470"
"348","0.029","528","8","PXD002470"
"349","0.03","528","8","PXD002470"
"350","0.031","529","8","PXD002470"
"351","0.032","529","8","PXD002470"
