"","Threshold","power_narrow","dcy_indx","PXID"
"277","0.04","516","6","PXD002470"
"278","0.041","516","6","PXD002470"
"279","0.042","516","6","PXD002470"
"280","0.043","519","6","PXD002470"
"281","0.044","519","6","PXD002470"
"282","0.045","521","6","PXD002470"
"283","0.046","522","6","PXD002470"
"284","0.047","522","6","PXD002470"
"285","0.048","523","6","PXD002470"
"286","0.049","523","6","PXD002470"
"287","0.05","527","6","PXD002470"
"288","0.01","489","7","PXD002470"
"289","0.011","490","7","PXD002470"
"290","0.012","490","7","PXD002470"
"291","0.013","492","7","PXD002470"
"292","0.014","492","7","PXD002470"
"293","0.015","492","7","PXD002470"
"294","0.016","492","7","PXD002470"
"295","0.017","496","7","PXD002470"
"296","0.018","496","7","PXD002470"
"297","0.019","498","7","PXD002470"
"298","0.02","498","7","PXD002470"
"299","0.021","498","7","PXD002470"
"300","0.022","498","7","PXD002470"
"301","0.023","499","7","PXD002470"
"302","0.024","499","7","PXD002470"
"303","0.025","499","7","PXD002470"
"304","0.026","501","7","PXD002470"
"305","0.027","501","7","PXD002470"
"306","0.028","503","7","PXD002470"
"307","0.029","503","7","PXD002470"
"308","0.03","506","7","PXD002470"
"309","0.031","506","7","PXD002470"
"310","0.032","507","7","PXD002470"
"311","0.033","507","7","PXD002470"
"312","0.034","507","7","PXD002470"
"313","0.035","523","7","PXD002470"
"314","0.036","528","7","PXD002470"
"315","0.037","528","7","PXD002470"
"316","0.038","531","7","PXD002470"
"317","0.039","531","7","PXD002470"
"318","0.04","532","7","PXD002470"
"319","0.041","532","7","PXD002470"
"320","0.042","532","7","PXD002470"
"321","0.043","532","7","PXD002470"
"322","0.044","532","7","PXD002470"
"323","0.045","537","7","PXD002470"
"324","0.046","537","7","PXD002470"
"325","0.047","538","7","PXD002470"
"326","0.048","538","7","PXD002470"
"327","0.049","538","7","PXD002470"
"328","0.05","538","7","PXD002470"
"329","0.01","445","8","PXD002470"
"330","0.011","462","8","PXD002470"
"331","0.012","462","8","PXD002470"
"332","0.013","463","8","PXD002470"
"333","0.014","463","8","PXD002470"
"334","0.015","468","8","PXD002470"
"335","0.016","468","8","PXD002470"
"336","0.017","482","8","PXD002470"
"337","0.018","482","8","PXD002470"
"338","0.019","483","8","PXD002470"
"339","0.02","483","8","PXD002470"
"340","0.021","486","8","PXD002470"
"341","0.022","511","8","PXD002470"
"342","0.023","511","8","PXD002470"
"343","0.024","516","8","PXD002470"
"344","0.025","516","8","PXD002470"
"345","0.026","516","8","PXD002470"
"346","0.027","516","8","PXD002470"
"347","0.028","517","8","PXD002470"
"348","0.029","517","8","PXD002470"
"349","0.03","517","8","PXD002470"
"350","0.031","520","8","PXD002470"
"351","0.032","520","8","PXD002470"
"352","0.033","521","8","PXD002470"
"353","0.034","521","8","PXD002470"
"354","0.035","522","8","PXD002470"
"355","0.036","522","8","PXD002470"
"356","0.037","523","8","PXD002470"
"357","0.038","529","8","PXD002470"
"358","0.039","529","8","PXD002470"
"359","0.04","531","8","PXD002470"
"360","0.041","531","8","PXD002470"
"361","0.042","532","8","PXD002470"
"362","0.043","532","8","PXD002470"
"363","0.044","532","8","PXD002470"
"364","0.045","532","8","PXD002470"
"365","0.046","532","8","PXD002470"
"366","0.047","534","8","PXD002470"
"367","0.048","534","8","PXD002470"
"368","0.049","536","8","PXD002470"
"369","0.05","536","8","PXD002470"
"370","0.01","477","9","PXD002470"
"371","0.011","484","9","PXD002470"
"372","0.012","501","9","PXD002470"
"373","0.013","501","9","PXD002470"
"374","0.014","502","9","PXD002470"
"375","0.015","502","9","PXD002470"
"376","0.016","505","9","PXD002470"
"377","0.017","505","9","PXD002470"
"378","0.018","512","9","PXD002470"
"379","0.019","512","9","PXD002470"
"380","0.02","525","9","PXD002470"
"381","0.021","526","9","PXD002470"
"382","0.022","526","9","PXD002470"
"383","0.023","527","9","PXD002470"
"384","0.024","527","9","PXD002470"
"385","0.025","527","9","PXD002470"
"386","0.026","527","9","PXD002470"
"387","0.027","529","9","PXD002470"
"388","0.028","529","9","PXD002470"
"389","0.029","531","9","PXD002470"
"390","0.03","531","9","PXD002470"
"391","0.031","533","9","PXD002470"
"392","0.032","533","9","PXD002470"
"393","0.033","533","9","PXD002470"
"394","0.034","534","9","PXD002470"
"395","0.035","534","9","PXD002470"
"396","0.036","535","9","PXD002470"
"397","0.037","535","9","PXD002470"
"398","0.038","536","9","PXD002470"
"399","0.039","536","9","PXD002470"
"400","0.04","537","9","PXD002470"
"401","0.041","539","9","PXD002470"
"402","0.042","539","9","PXD002470"
"403","0.043","539","9","PXD002470"
"404","0.044","539","9","PXD002470"
"405","0.045","539","9","PXD002470"
"406","0.046","539","9","PXD002470"
"407","0.047","540","9","PXD002470"
"408","0.048","542","9","PXD002470"
"409","0.049","542","9","PXD002470"
"410","0.05","549","9","PXD002470"
"411","0.01","438","0","PXD006856"
"412","0.011","438","0","PXD006856"
"413","0.012","440","0","PXD006856"
"414","0.013","440","0","PXD006856"
"415","0.014","445","0","PXD006856"
"416","0.015","445","0","PXD006856"
"417","0.016","454","0","PXD006856"
"418","0.017","454","0","PXD006856"
"419","0.018","455","0","PXD006856"
"420","0.019","455","0","PXD006856"
"421","0.02","456","0","PXD006856"
"422","0.021","456","0","PXD006856"
"423","0.022","461","0","PXD006856"
"424","0.023","461","0","PXD006856"
"425","0.024","461","0","PXD006856"
"426","0.025","461","0","PXD006856"
"427","0.026","462","0","PXD006856"
"428","0.027","462","0","PXD006856"
"429","0.028","462","0","PXD006856"
"430","0.029","462","0","PXD006856"
"431","0.03","462","0","PXD006856"
"432","0.031","464","0","PXD006856"
"433","0.032","464","0","PXD006856"
"434","0.033","466","0","PXD006856"
"435","0.034","466","0","PXD006856"
"436","0.035","466","0","PXD006856"
"437","0.036","466","0","PXD006856"
"438","0.037","468","0","PXD006856"
"439","0.038","480","0","PXD006856"
"440","0.039","480","0","PXD006856"
"441","0.04","480","0","PXD006856"
"442","0.041","480","0","PXD006856"
"443","0.042","483","0","PXD006856"
"444","0.043","483","0","PXD006856"
"445","0.044","484","0","PXD006856"
"446","0.045","484","0","PXD006856"
"447","0.046","484","0","PXD006856"
"448","0.047","484","0","PXD006856"
"449","0.048","485","0","PXD006856"
"450","0.049","485","0","PXD006856"
"451","0.05","487","0","PXD006856"
"452","0.01","431","1","PXD006856"
"453","0.011","431","1","PXD006856"
"454","0.012","439","1","PXD006856"
"455","0.013","439","1","PXD006856"
"456","0.014","451","1","PXD006856"
"457","0.015","451","1","PXD006856"
"458","0.016","454","1","PXD006856"
"459","0.017","454","1","PXD006856"
"460","0.018","462","1","PXD006856"
"461","0.019","462","1","PXD006856"
"462","0.02","467","1","PXD006856"
"463","0.021","467","1","PXD006856"
"464","0.022","474","1","PXD006856"
"465","0.023","474","1","PXD006856"
"466","0.024","474","1","PXD006856"
"467","0.025","474","1","PXD006856"
"468","0.026","477","1","PXD006856"
"469","0.027","477","1","PXD006856"
"470","0.028","478","1","PXD006856"
"471","0.029","478","1","PXD006856"
"472","0.03","480","1","PXD006856"
"473","0.031","480","1","PXD006856"
"474","0.032","480","1","PXD006856"
"475","0.033","480","1","PXD006856"
"476","0.034","482","1","PXD006856"
"477","0.035","482","1","PXD006856"
"478","0.036","485","1","PXD006856"
"479","0.037","487","1","PXD006856"
"480","0.038","487","1","PXD006856"
"481","0.039","490","1","PXD006856"
"482","0.04","490","1","PXD006856"
"483","0.041","490","1","PXD006856"
"484","0.042","490","1","PXD006856"
"485","0.043","492","1","PXD006856"
"486","0.044","492","1","PXD006856"
"487","0.045","492","1","PXD006856"
"488","0.046","492","1","PXD006856"
"489","0.047","493","1","PXD006856"
"490","0.048","493","1","PXD006856"
"491","0.049","497","1","PXD006856"
"492","0.05","497","1","PXD006856"
"493","0.01","471","2","PXD006856"
"494","0.011","472","2","PXD006856"
"495","0.012","472","2","PXD006856"
"496","0.013","472","2","PXD006856"
"497","0.014","472","2","PXD006856"
"498","0.015","474","2","PXD006856"
"499","0.016","474","2","PXD006856"
"500","0.017","476","2","PXD006856"
"501","0.018","476","2","PXD006856"
"502","0.019","476","2","PXD006856"
"503","0.02","476","2","PXD006856"
"504","0.021","479","2","PXD006856"
"505","0.022","479","2","PXD006856"
"506","0.023","484","2","PXD006856"
"507","0.024","484","2","PXD006856"
"508","0.025","484","2","PXD006856"
"509","0.026","484","2","PXD006856"
"510","0.027","489","2","PXD006856"
"511","0.028","489","2","PXD006856"
"512","0.029","490","2","PXD006856"
"513","0.03","490","2","PXD006856"
"514","0.031","490","2","PXD006856"
"515","0.032","490","2","PXD006856"
"516","0.033","490","2","PXD006856"
"517","0.034","490","2","PXD006856"
"518","0.035","490","2","PXD006856"
"519","0.036","490","2","PXD006856"
"520","0.037","492","2","PXD006856"
"521","0.038","492","2","PXD006856"
"522","0.039","497","2","PXD006856"
"523","0.04","510","2","PXD006856"
"524","0.041","514","2","PXD006856"
"525","0.042","514","2","PXD006856"
"526","0.043","515","2","PXD006856"
"527","0.044","515","2","PXD006856"
"528","0.045","516","2","PXD006856"
"529","0.046","516","2","PXD006856"
"530","0.047","516","2","PXD006856"
"531","0.048","516","2","PXD006856"
"532","0.049","520","2","PXD006856"
"533","0.05","521","2","PXD006856"
"534","0.01","433","3","PXD006856"
"535","0.011","433","3","PXD006856"
"536","0.012","442","3","PXD006856"
"537","0.013","442","3","PXD006856"
"538","0.014","448","3","PXD006856"
"539","0.015","448","3","PXD006856"
"540","0.016","458","3","PXD006856"
"541","0.017","458","3","PXD006856"
"542","0.018","458","3","PXD006856"
"543","0.019","458","3","PXD006856"
"544","0.02","462","3","PXD006856"
"545","0.021","462","3","PXD006856"
"546","0.022","462","3","PXD006856"
